kód obce,obec,platné hlasy,voliči v seznamu,vydané obálky,-,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
506761,Alojzov,144,205,145,0,32,0,0,0,1,17,6,0,29,0,1,0,0,1,0,5,0,1,4,15,5,18,9,0,0
589268,Bedihošť,524,834,527,0,140,1,0,0,0,123,26,0,51,0,2,1,0,0,0,13,1,14,2,82,6,34,28,0,0
589276,Bílovice-Lutotín,275,431,279,0,83,0,0,0,1,40,22,0,13,0,0,0,0,0,0,8,0,4,1,38,3,30,32,0,0
589284,Biskupice,131,238,132,0,34,0,0,0,0,24,10,0,14,0,1,0,2,0,0,5,0,1,2,19,0,10,9,0,0
589292,Bohuslavice,236,376,236,0,53,0,0,1,0,22,39,1,20,0,4,0,0,3,1,3,0,6,3,36,4,17,23,0,0
589306,Bousín,67,107,67,0,10,0,0,0,0,14,9,0,5,0,2,0,0,0,0,3,0,0,0,11,2,7,4,0,0
589314,Brodek u Konice,460,695,460,0,144,0,0,0,0,47,60,0,25,0,4,0,1,1,0,20,2,5,3,72,5,38,32,1,0
589322,Brodek u Prostějova,655,1224,656,0,202,1,0,0,4,61,53,2,54,1,4,0,0,3,1,21,2,11,5,107,22,57,42,2,0
589331,Březsko,111,178,111,0,36,0,0,0,0,3,17,0,9,0,3,0,1,0,0,6,0,1,0,13,2,10,9,0,1
589349,Budětsko,206,331,208,0,58,0,0,0,0,22,32,0,6,1,3,0,1,2,1,6,2,2,1,35,3,7,24,0,0
589357,Buková,169,264,170,0,35,0,0,1,0,33,25,0,16,1,0,0,0,0,0,3,0,3,2,15,2,14,19,0,0
589365,Čehovice,280,426,281,0,80,0,0,0,3,42,13,0,16,0,7,0,0,1,1,8,0,5,5,44,10,18,27,0,0
589381,Čechy pod Kosířem,512,814,512,0,140,0,0,0,3,79,47,0,25,0,7,1,2,0,0,20,0,6,7,70,7,31,66,0,1
589390,Čelčice,272,437,272,0,74,0,0,0,1,46,15,1,21,0,0,1,0,1,1,10,1,3,5,49,2,18,23,0,0
589403,Čelechovice na Hané,642,1063,649,0,198,1,1,0,6,76,32,0,49,1,3,0,0,0,2,63,2,0,2,103,15,43,45,0,0
589420,Dětkovice,281,427,284,0,82,1,0,0,1,47,36,0,19,2,4,0,0,0,0,6,0,4,2,25,2,38,12,0,0
589438,Dobrochov,170,270,172,0,51,0,0,0,0,13,17,0,13,0,2,1,0,0,1,7,0,3,5,25,5,13,14,0,0
589446,Dobromilice,308,629,308,0,95,0,4,1,0,42,36,0,9,0,0,0,0,0,1,14,2,1,1,68,0,10,22,2,0
589454,Doloplazy,244,459,244,0,71,0,0,0,1,37,8,0,24,1,0,0,0,2,0,5,0,3,2,56,0,12,20,1,1
589462,Drahany,287,443,290,0,70,0,0,0,1,44,17,0,11,1,6,0,0,1,2,28,0,6,2,51,9,9,29,0,0
558419,Držovice,742,1139,748,0,275,0,0,0,5,45,38,9,78,4,6,3,0,1,2,40,7,5,4,102,15,60,42,0,1
589489,Dřevnovice,219,380,220,0,68,0,0,0,0,28,32,0,6,0,1,0,0,0,0,4,0,0,1,38,2,24,15,0,0
589497,Dzbel,133,209,133,0,50,0,0,0,0,22,24,0,2,0,1,0,0,2,0,5,0,1,0,8,0,6,11,0,1
549967,Hačky,65,83,67,0,12,0,1,0,0,0,18,0,4,0,0,1,1,3,0,4,2,3,0,5,1,0,10,0,0
589501,Hluchov,173,292,174,0,61,0,0,0,1,25,9,0,9,0,0,0,0,0,0,4,0,6,5,36,1,7,9,0,0
589519,Horní Štěpánov,452,749,454,0,130,0,0,0,2,48,64,1,16,0,4,0,0,2,0,10,1,1,1,66,5,41,56,4,0
589527,Hradčany-Kobeřice,194,326,196,0,50,1,0,0,3,24,14,1,11,0,0,0,0,3,0,5,0,1,1,49,1,14,16,0,0
589535,Hrdibořice,109,178,109,0,27,0,0,0,0,22,5,0,12,0,0,0,0,0,0,2,1,3,1,20,3,10,3,0,0
589543,Hrubčice,374,617,376,0,129,0,0,0,3,44,28,0,35,0,4,0,0,2,0,14,2,4,0,41,9,35,24,0,0
543543,Hruška,88,191,90,0,33,0,0,0,1,18,6,0,3,0,0,0,0,0,0,4,0,0,0,17,1,4,1,0,0
589560,Hvozd,336,524,340,0,79,0,0,0,0,42,59,1,16,0,7,0,0,1,1,14,3,4,2,36,5,30,34,1,1
589578,Ivaň,237,390,238,0,63,0,0,0,0,36,23,0,32,0,3,0,0,1,0,1,2,0,1,44,9,15,7,0,0
589586,Jesenec,139,246,139,0,43,0,0,0,2,14,16,2,6,3,4,0,0,0,0,4,0,0,0,24,5,5,9,0,2
589594,Kladky,140,289,140,0,30,0,0,0,1,17,24,2,7,0,3,0,0,1,0,2,1,2,0,17,3,9,17,1,3
589608,Klenovice na Hané,354,654,355,0,125,1,0,1,0,61,29,0,13,0,0,1,0,0,0,7,6,5,1,52,2,31,17,0,2
589616,Klopotovice,165,238,165,0,39,1,0,0,0,33,17,1,6,1,0,0,0,1,0,5,0,0,3,27,1,10,20,0,0
589624,Konice,1358,2285,1393,0,278,0,0,0,23,154,199,1,91,3,8,2,2,2,3,69,5,15,14,193,39,94,158,2,3
589632,Kostelec na Hané,1323,2302,1334,0,389,0,0,0,4,86,136,5,97,7,9,1,2,4,0,47,6,10,22,203,53,112,130,0,0
589641,Koválovice-Osíčany,151,232,152,0,33,0,0,0,0,25,30,0,4,0,0,1,0,0,4,3,0,3,1,27,1,5,14,0,0
589659,Kralice na Hané,804,1257,807,0,250,2,2,1,6,57,60,0,96,2,9,2,0,1,1,39,7,4,5,116,19,69,53,2,1
589667,Krumsín,284,465,284,0,64,1,0,0,0,34,52,0,22,2,0,1,0,0,0,8,1,0,1,42,4,22,30,0,0
589675,Laškov,334,487,335,0,103,0,0,0,1,30,71,0,15,3,0,1,0,3,0,9,1,5,3,37,10,23,18,0,1
589683,Lešany,194,320,196,0,69,0,0,0,3,17,16,0,22,1,2,0,2,1,0,2,1,5,7,24,0,11,10,0,1
589691,Lipová,449,615,450,0,132,0,0,0,0,51,102,0,24,0,1,0,0,0,0,16,0,4,1,50,8,21,39,0,0
589705,Ludmírov,239,480,239,0,82,0,0,0,1,28,34,0,11,0,2,0,0,0,0,11,0,3,0,29,3,10,25,0,0
589713,Malé Hradisko,185,309,185,0,38,0,3,0,0,23,27,0,18,2,1,0,0,0,0,13,2,0,3,28,1,7,19,0,0
589721,Mořice,223,422,226,0,66,0,0,0,0,39,13,0,8,1,2,0,0,0,0,22,0,1,2,39,1,9,20,0,0
589730,Mostkovice,836,1248,842,0,299,0,1,1,4,59,49,2,98,3,2,0,0,0,1,23,8,3,7,141,21,58,55,0,1
589748,Myslejovice,370,569,371,0,95,2,0,0,3,54,18,0,31,0,3,0,0,1,0,10,0,0,2,71,2,47,31,0,0
589756,Němčice nad Hanou,939,1612,942,0,264,3,4,0,5,110,79,1,79,6,6,0,3,2,2,23,0,4,6,176,24,44,96,1,1
589764,Nezamyslice,615,1140,619,0,205,1,0,0,3,58,57,1,51,0,6,0,1,0,0,27,0,2,4,89,16,35,56,1,2
589772,Niva,160,257,160,0,41,0,0,0,1,32,12,0,6,0,1,0,0,0,0,7,0,2,1,21,0,10,26,0,0
589799,Obědkovice,94,207,95,0,30,0,0,0,1,17,5,0,3,0,1,0,0,0,0,1,0,2,0,23,4,1,6,0,0
589802,Ohrozim,266,370,267,0,56,1,0,0,3,18,51,0,30,0,1,1,0,0,2,10,1,3,0,40,8,21,20,0,0
589811,Ochoz,99,152,102,0,25,0,0,0,1,8,31,0,9,0,0,0,0,6,0,2,0,1,0,5,4,3,4,0,0
589829,Olšany u Prostějova,839,1375,844,0,293,5,0,0,3,56,41,0,72,12,9,0,1,1,3,17,6,9,15,138,19,64,75,0,0
589837,Ondratice,171,289,173,0,36,0,1,0,0,28,30,1,9,2,5,0,0,0,0,4,1,2,0,28,2,12,10,0,0
589845,Otaslavice,647,1029,650,0,156,0,0,2,3,74,56,4,81,2,4,0,2,0,0,9,0,2,3,106,16,59,66,0,2
589853,Otinoves,143,229,144,0,40,0,0,0,2,17,25,0,3,0,0,0,0,2,0,3,0,0,0,18,5,20,8,0,0
557196,Pavlovice u Kojetína,134,232,135,0,44,0,0,0,0,21,12,0,4,0,1,0,0,1,0,11,1,1,0,19,1,6,12,0,0
589870,Pěnčín,349,594,352,0,113,0,2,1,1,37,41,0,18,1,2,1,0,2,1,12,1,3,2,68,4,15,22,0,2
589888,Pivín,381,565,382,0,118,0,0,0,1,24,64,1,19,0,3,1,0,1,0,23,0,5,1,77,10,20,13,0,0
589896,Plumlov,1175,1934,1180,0,312,2,2,1,2,102,110,4,120,5,3,0,2,3,0,24,1,11,16,197,40,118,100,0,0
549983,Polomí,78,124,78,0,15,0,0,0,0,11,12,0,2,2,1,0,0,1,0,3,0,6,0,8,2,3,12,0,0
589250,Prostějov,20934,35975,21073,0,6322,26,33,16,71,1699,1269,25,2152,109,120,16,6,29,31,459,67,270,350,3261,709,1942,1925,10,17
589918,Prostějovičky,137,242,138,0,38,0,0,0,0,20,15,0,13,0,2,0,0,0,1,5,0,1,6,11,1,12,12,0,0
589926,Protivanov,547,805,549,0,144,1,0,0,2,52,101,0,45,10,4,1,0,1,1,15,0,5,2,68,5,31,59,0,0
589934,Přemyslovice,617,1029,621,0,202,0,1,1,1,74,77,0,36,1,6,2,0,1,0,9,1,6,9,101,11,24,54,0,0
589942,Ptení,520,880,524,0,135,0,0,1,5,49,114,0,26,6,4,0,3,1,1,17,0,2,6,53,8,38,51,0,0
589951,Raková u Konice,101,163,104,0,30,0,0,0,2,16,19,0,5,0,0,0,0,0,0,5,1,0,1,11,1,10,0,0,0
589969,Rakůvka,61,80,61,0,17,0,0,0,0,8,2,0,1,0,1,0,0,0,0,0,2,0,0,13,2,4,11,0,0
589977,Rozstání,290,503,294,0,94,0,1,0,0,28,35,0,24,0,7,0,0,0,1,6,0,5,6,43,5,19,16,0,0
506770,Seloutky,287,410,288,0,87,0,0,0,0,33,30,0,34,0,2,0,0,0,0,6,0,3,3,32,9,29,19,0,0
589993,Skalka,131,212,131,0,31,0,0,0,0,20,17,0,7,1,1,0,0,0,0,7,0,1,1,20,4,14,7,0,0
590002,Skřípov,144,274,145,0,36,0,0,0,0,43,12,0,4,0,2,0,0,0,0,1,0,1,2,19,1,12,11,0,0
590011,Slatinky,313,453,314,0,87,0,0,0,0,30,27,0,32,0,0,1,0,0,0,16,0,2,7,29,23,44,15,0,0
590029,Smržice,786,1319,797,0,263,0,0,0,3,45,68,2,92,6,7,0,0,4,1,20,1,2,4,107,32,66,62,1,0
590045,Srbce,39,73,39,0,7,0,0,0,0,11,0,0,2,0,0,0,0,0,0,6,0,3,0,8,1,0,1,0,0
590053,Stařechovice,278,447,279,0,82,0,0,0,1,30,13,0,23,1,1,0,0,1,3,17,0,6,1,52,9,11,26,0,1
590061,Stínava,73,126,74,0,11,0,0,0,0,7,22,0,3,0,0,0,1,0,0,1,0,0,0,13,3,5,7,0,0
590070,Stražisko,220,345,222,0,83,0,0,0,0,25,30,0,3,0,1,0,0,0,0,4,0,2,1,34,2,14,20,0,1
590088,Suchdol,356,499,360,0,71,0,0,0,1,25,100,0,18,1,1,2,1,3,0,12,0,3,3,38,4,31,41,1,0
590096,Šubířov,109,204,110,0,37,0,0,0,0,14,7,1,6,0,1,0,0,0,0,6,0,1,2,11,2,12,9,0,0
590100,Tištín,215,393,215,0,63,2,0,0,1,15,14,0,6,1,0,0,0,0,0,17,2,4,5,43,3,6,32,0,1
590118,Tvorovice,152,252,152,0,38,0,0,0,3,22,18,0,9,1,1,0,0,0,0,14,3,0,1,24,1,8,9,0,0
590126,Určice,611,1101,613,0,158,0,5,1,4,69,35,1,68,6,5,1,0,0,0,29,5,11,18,110,12,38,35,0,0
590134,Víceměřice,204,354,204,0,56,0,0,0,4,19,13,0,11,3,2,0,1,0,0,3,1,1,1,33,5,18,33,0,0
590142,Vícov,250,404,254,0,69,1,0,0,3,24,40,0,17,0,4,1,0,0,0,5,1,3,4,41,6,20,11,0,0
544710,Vincencov,80,109,80,0,15,0,0,0,0,5,17,0,3,0,0,0,0,0,1,5,0,1,1,15,3,9,5,0,0
590151,Vitčice,84,146,84,0,33,0,1,0,0,5,6,0,6,0,2,0,0,0,1,3,0,0,0,15,0,6,5,0,1
590177,Vranovice-Kelčice,318,492,321,0,135,0,0,0,0,22,43,0,23,0,0,0,1,0,0,7,0,5,1,43,6,14,17,0,1
590185,Vrbátky,857,1306,863,0,287,4,1,0,5,85,79,1,68,2,6,1,0,1,1,31,5,11,7,119,14,68,60,0,1
590193,Vrchoslavice,275,478,282,0,87,1,0,2,1,31,15,0,17,4,1,0,0,1,2,16,0,3,3,49,4,18,20,0,0
590207,Vřesovice,280,419,281,0,61,0,0,0,1,41,69,0,15,0,0,0,0,1,2,8,0,1,3,40,8,14,16,0,0
590215,Výšovice,263,399,266,0,69,1,2,0,1,25,21,1,28,1,1,0,1,1,0,2,0,3,3,41,16,21,25,0,0
590223,Zdětín,194,282,196,0,53,1,0,0,2,16,18,0,6,0,0,0,0,0,1,13,1,0,1,38,2,21,21,0,0
590240,Želeč,278,436,278,0,67,2,0,0,1,49,28,0,21,0,7,0,0,0,0,17,0,2,3,47,2,17,15,0,0
